"placekey","location_name","latitude","longitude"
222-224@627-s62-q4v,Dyckman Marina Ramp,40.868891,-73.93193
zzz-222@627-wdc-dgk,Oceana,40.577922,-73.957749
zzy-223@627-wc3-m6k,Atlantic Ave BBP Pier 6 NYC Ferry Terminal,40.693486,-74.002972
zzw-223@627-wbv-kzz,Matthews Palmer Playground,40.76133,-73.992843
zzz-222@627-wc8-nkf,Golconda Playground,40.697857,-73.982803
zzy-222@627-s8x-wp9,New York City Department Of Parks And Recreation,40.690208,-73.970809
zzw-223@627-s9d-3qz,Gulf Oil,40.767692,-73.865177
zzz-222@627-wf9-k75,Old Town Playground,40.595484,-74.081762
zzz-222@627-s7w-7dv,Long Island Mews,40.736115,-73.8901
zzz-222@627-wbz-rzf,Imagination Playground,40.706318,-74.004235
zzz-222@627-wg7-st9,Garden Newport,40.659556,-73.905928
223-222@627-wc7-5mk,Park's Garden,40.715462,-74.001458
zzz-222@627-s8m-8gk,Bushwick Inlet Park,40.722777,-73.961715
zzy-222@627-s6h-pvz,Galileo Park,40.848597,-73.914888
zzw-222@627-vv7-bhq,Silver Lake Park Dog Run,40.626416,-74.09275
zzy-222@627-wgy-3yv,Arirang Hibachi Stekhse and Sshi Br Smri Lnge Bnqt,40.639865,-74.038112
zzz-222@627-wbm-ty9,Hudson River Park,40.733077,-74.011049
zzz-222@627-s9f-zs5,Kissena Corridor Park,40.749486,-73.830406
zzz-222@627-wf8-gx5,Sobel Court Park,40.614764,-74.083613
zzz-222@627-s7r-3kf,RosemaryS Playground,40.70483,-73.90391
zzw-222@627-rvx-xyv,Cross Island Parkway,40.789667,-73.783553
zzz-222@627-s27-4jv,Ps 38,40.670796,-73.734011
zzz-222@627-s6d-9xq,Carmansville Playground,40.829184,-73.944261
22m-222@627-rzk-zj9,Alley Pond Environmental Center,40.740246,-73.7485
zzz-222@627-rzm-y7q,Linnaeus Park,40.753715,-73.750978
zzy-228@627-wbn-b49,Mao's Bao,40.742995,-74.007171
zzz-222@627-wc7-rff,AdrienneS Playground,40.72875,-73.998143
zzz-222@627-s93-2x5,I S 383,40.698313,-73.918622
zzw-224@627-s9f-mff,Cathailina,40.747053,-73.852273
222-222@627-rwc-vxq,NYBG Shop,40.862611,-73.879849
zzz-222@627-vw2-g6k,Mariners Marsh Park,40.637087,-74.174407
zzz-222@627-sbb-9fz,P S 85,40.773122,-73.915445
zzz-222@627-s88-dgk,Centreville Playground,40.670496,-73.838808
zzz-222@627-vv2-y9z,Markham Playground,40.623696,-74.145818
zzz-222@627-wc3-5fz,Mother Cabrini Park,40.684313,-74.004892
22p-222@627-s8q-wzf,Central Parking,40.762315,-73.969358
zzz-222@627-s6j-3nq,Bathgate Playground,40.852832,-73.894301
zzz-222@627-wc7-j5f,Washington Market Park,40.717059,-74.011503
zzz-222@627-rvx-gkz,Clearview Park Golf Course,40.782276,-73.788758
zzz-222@627-wh4-n5z,Albemarle Playground,40.645853,-73.98055
zzy-222@627-wh3-kxq,Community Markets Farmer's Market,40.672735,-73.98401
zzz-222@627-sb9-4gk,Astoria Heights Playground,40.761006,-73.911462
zzw-222@627-s7m-mrk,Forest Park Golf Course,40.700293,-73.864066
zzz-222@627-s98-xyv,Maple Playground,40.755855,-73.826234
zzw-222@627-wfb-66k,Wheel Fun Rentals FDR Boardwalk at Sand Lane,40.590727,-74.064823
zzz-222@627-s9k-zj9,College Point Fields,40.777253,-73.83752
zzy-222@627-s99-2kz,Bowne Playground,40.758285,-73.824794
zzz-222@627-s65-vfz,Vinmont Veteran Park,40.902448,-73.904805
zzw-222@627-wh2-7h5,Sunset Park Greenmarket,40.641521,-74.01743
zzz-223@627-vsg-qfz,P S 69,40.591872,-74.156929
zzz-222@627-s6b-yvz,Flynn Playground,40.820984,-73.911836
zzw-223@627-vv5-xt9,Children's Harbor Pre Sch,40.643856,-74.102338
zzz-222@627-s69-mtv,Cpl Fischer Park,40.84053,-73.923025
zzz-222@627-s6h-nyv,P S 306,40.850816,-73.911127
zzz-222@627-s6b-8vz,Keltch Park,40.840612,-73.917712
zzz-222@627-s8j-rc5,Bellevue South Park,40.739891,-73.978163
zzz-222@627-s8y-5pv,Sixteen Sycamores Playground,40.686768,-73.980876
zzy-222@627-sb8-rp9,Ward's Island Bridge,40.789145,-73.936785
zzy-225@627-wbz-tjv,South Beach,40.712788,-74.005961
223-222@627-s9d-ch5,World's Fair Marina Cafe,40.761274,-73.857908
zzz-222@627-vsn-q4v,Arbutus Woods Park,40.528357,-74.185178
22c-222@627-wg8-mhq,Fitmar Management Llc Dba Paerdegat After School,40.62677,-73.902825
zzz-222@627-s9m-wff,Nyc Open Space 92,40.794545,-73.840586
224-222@627-s6d-7t9,Central Parking,40.836424,-73.9414
zzz-222@627-s8x-7kf,Amboy Neighborhood Center,40.665323,-73.913825
zzy-234@627-s8r-8sq,Central Park Pedicab Airline,40.767398,-73.983005
zzz-222@627-rw9-bc5,Risse Street Park,40.878324,-73.885277
226-226@627-s8z-rkz,Murmrr Theatre,40.673224,-73.968102
zzw-225@627-s4r-4d9,Indie Food And Wine,40.773566,-73.983913
zzz-222@627-rwd-g49,Nyc Open Space 180,40.882151,-73.842343
zzw-224@627-wh3-kxq,Washington Park JJ Byrne Playground,40.672602,-73.983738
zzz-222@627-rzq-bzf,Fresh Meadows Park,40.740814,-73.784939
zzz-222@627-s6f-wtv,Willis Playground,40.810822,-73.923045
zzz-222@627-s9v-fmk,P S 121q,40.683407,-73.815524
22p-222@627-wbt-rx5,The Hudson Guild Inc Hudson Guild Chelsea Rec Ctr,40.748358,-74.001985
zzz-222@627-s6g-33q,Robert L Clinkscales Playground And Community Garden,40.822623,-73.939925
zzz-222@627-w7d-6kz,Long Pond Park,40.509462,-74.22728
22n-228@627-wc7-qfz,Never Sleep Alone,40.728985,-73.991749
zzz-222@627-s86-5s5,Park Egan,40.656178,-73.875247
zzz-222@627-s6m-vs5,I S 218,40.860021,-73.929936
zzz-222@627-rvb-m49,On The Sound,40.847846,-73.781986
zzw-222@627-vvc-gp9,Nyc Open Space 248,40.566059,-74.126273
222-222@627-s9c-zs5,Porsche Grille,40.757536,-73.846603
zzz-222@627-w9f-xt9,Skyline Playground,40.63947,-74.089621
zzy-222@627-s4n-87q,Shakespeare In the Park,40.780297,-73.968782
zzz-222@627-s9q-cnq,Queens Gate,40.707884,-73.817757
zzz-222@627-vvp-nnq,Kaufman Camp,40.597148,-74.120256
zzz-222@627-s94-gtv,Marion Hopkinson Playground,40.681785,-73.912961
zzz-222@627-s7k-py9,Hoffman Park,40.732841,-73.87197
zzz-222@627-wg6-2p9,Hendrick I Lott House,40.610329,-73.932645
zzz-222@627-vvc-35z,Dugan Playground,40.561238,-74.11051
zzw-222@627-rzm-rff,Alley Pond Park,40.745118,-73.740448
zzz-222@627-wc8-2kz,Liz Christy Garden,40.724118,-73.991832
223-222@627-rwt-ty9,CITGO,40.836694,-73.838375
zzw-222@627-wc3-nbk,Fornino,40.692626,-74.000687
zzz-222@627-vtz-h5z,Nyc Open Space 201,40.608808,-74.106747
zzw-224@627-s7n-djv,Forest Park CPA,40.702226,-73.854716
zzz-222@627-wfg-85f,I S 049 Bertha A Dreyfus,40.620819,-74.080511
zzy-222@627-s8f-vmk,Smiling Hogshead Ranch,40.743159,-73.943089
zzz-222@627-vvp-4vz,High Rock Park,40.583121,-74.123019
222-222@627-s8r-wzf,Wollman Ice Skating Rink,40.767777,-73.974486
222-223@627-s8w-qxq,Skaterobics,40.67374,-73.934881
zzw-222@627-wgw-8vz,P S 121,40.622455,-73.978088
222-222@627-sbg-8n5,Randall's Island Golf Center,40.797431,-73.924472
zzw-222@627-wg8-mc5,Paerdegat Kid Sports & Child Education Center,40.626496,-73.901888
223-222@627-vvp-9zz,Greenbelt Recreation Center,40.591852,-74.139245
222-229@627-s8q-vzz,Central Park Horse Sculptures,40.764459,-73.972647
zzw-222@627-rwc-6kz,Pine Tree Cafe,40.86256,-73.880437
zzy-222@627-s4p-4gk,Tarr Coyne Wild West Playground,40.789809,-73.965589
zzy-224@627-wc3-n5z,Palmetto Playground,40.692068,-73.99886
zzz-222@627-s8w-qvf,St JohnS Recreation Center,40.674819,-73.93521
zzz-222@627-s95-cnq,Ridgewood Bushwick Youth Center,40.697541,-73.913575
zzz-223@627-s4v-ysq,P S 76,40.806687,-73.951806
zzz-222@627-s26-6tv,225 Street Malls,40.675446,-73.746161
zzy-224@627-s4m-btv,North Meadow,40.794305,-73.969615
zzz-222@627-s6c-jjv,Julio Carballo Fields,40.815727,-73.889366
zzz-223@627-s83-xt9,P S 328,40.66833,-73.898338
226-222@627-wh4-xt9,Gray Fox Guiding Company,40.644781,-73.959177
zzz-222@627-s6h-435,Morris Garden,40.854654,-73.903791
zzw-223@627-wbz-v2k,Peck Slip School The,40.713425,-74.005593
zzz-222@627-ryv-975,Bellerose Playground,40.73286,-73.71793
zzz-222@627-wg9-8sq,Wilson Playground,40.643037,-73.895104
zzz-222@627-s9r-nh5,Marconi Park,40.693865,-73.795604
zzz-222@627-s96-r49,Bartlett Playground,40.700699,-73.946038
zzz-222@627-wh2-t9z,Ennis Playground,40.67079,-73.993819
zzz-222@627-s8r-2tv,Mary OConnor Playground,40.749548,-73.970815
zzz-223@627-rzs-59f,Telephone Playground,40.738463,-73.756592
zzz-222@627-s6h-5mk,Grand Playground,40.856082,-73.907155
223-222@627-s4t-3yv,Cuny City College,40.818155,-73.949423
22f-222@627-s8y-2p9,Enterprise Washington Parking,40.681457,-73.965066
zzy-222@627-wg6-t9z,Remsen Playground,40.642139,-73.90766
zzz-222@627-s8y-zcq,Washington Hall Park,40.695392,-73.966925
224-222@627-s8z-n3q,Brooklyn Museum Of Art,40.670733,-73.963495
zzy-223@627-wc3-n5z,Brooklyn Bridge Park Pier 6,40.691915,-74.000021
zzz-222@627-s6k-q9f,P S 234,40.845564,-73.886956
zzz-222@627-s7v-jqf,J H S 157,40.732468,-73.852478
zzy-223@627-wc7-v75,Easy French Conversation,40.730897,-73.997325
zzy-222@627-sb8-87q,Whitey Ford Field,40.77739,-73.934653
229-224@627-s92-4jv,Morris Truck,40.674624,-73.943905
zzz-222@627-s8f-ht9,Greenpoint Landing,40.737004,-73.959699
22m-222@627-wgt-q9f,Beth Rachel School of Boro Park,40.640658,-73.998903
zzz-222@627-wdk-8jv,Bill Brown Playground,40.592483,-73.945721
zzz-222@627-sb2-ffz,Vleigh Playground,40.729759,-73.816745
zzz-222@627-tk6-hyv,Park 28,40.592456,-73.759453
zzz-222@627-s8w-gkz,I S 252,40.657718,-73.919655
zzy-222@627-s6c-kj9,New York City Department Of Parks And Recreation,40.814314,-73.886019
zzz-222@627-wc9-52k,Walt Whitman Park,40.698296,-73.989455
zzz-223@627-wdh-v2k,P S 197,40.611957,-73.951314
zzw-222@627-tmp-snq,Rockaway Beach,40.572261,-73.84478
zzw-222@627-vv5-xt9,Staten Island Children's Museum,40.644526,-74.102721
zzz-222@627-s8q-5xq,Nyc Open Space 78,40.749601,-73.91409
zzy-223@627-s8j-h3q,Union Square Dog Run,40.735144,-73.991923
zzz-222@627-s6k-s3q,Admiral Farragut Playground,40.843008,-73.891912
zzz-222@627-s69-pqf,Lot 165,40.830546,-73.923434
zzz-222@627-wc3-hqz,P S 261,40.687116,-73.989014
227-222@627-rw9-qpv,Kingsbridge Heights Hs,40.877611,-73.90065
zzz-222@627-wh3-d5f,Prospect Park,40.666766,-73.97414
zzz-222@627-s6c-9j9,El Flamboyan Garden,40.81371,-73.905748
zzz-222@627-s6c-gp9,Lyons Square Playground,40.822706,-73.888036
zzz-222@627-wg9-8vz,P S 279 Playground,40.644635,-73.893274
zzz-222@627-s7s-5j9,Newtown Playground,40.736263,-73.869474
zzw-222@627-wfd-7nq,Fort Hamilton Senior Recreation Center,40.611935,-74.031671
zzz-222@627-s8f-8d9,St Vartan Park,40.745282,-73.974013
zzw-223@627-wby-zvf,Battery Gardens,40.701505,-74.01509
zzz-222@627-s7s-r8v,Park Of The Americas,40.748814,-73.861936
zzy-222@627-s84-tsq,Linwood playground,40.666096,-73.880426
zzy-222@627-wc9-3wk,Pierrepont Playground,40.696534,-73.997406
zzz-222@627-s7x-2c5,Ps 152,40.753272,-73.900753
23f-222@627-s7t-s5z,Rego Park Fashion Shoes and Locksmith,40.729199,-73.863271
zzz-222@627-s9c-xbk,Hinton Park,40.755828,-73.854988
zzz-222@627-tk9-f4v,Beach 59Th St Playground,40.589142,-73.78892
zzy-222@627-tkc-tsq,Dred Surfer Bar,40.594219,-73.750598
zzz-222@627-wc2-3dv,Manahatta Park,40.70494,-74.006932
zzz-222@627-s69-g6k,Mott Playground,40.831174,-73.914792
zzz-222@627-wg4-mtv,Amersfort Park,40.628997,-73.939049
zzy-222@627-sb9-jd9,The Breakfast Shack,40.767873,-73.922264
zzy-222@627-s4v-7wk,Morningside Park's Down to Earth Farmers Market,40.801235,-73.959628
zzy-223@627-sb6-gtv,New York City Department Of Parks And Recreation,40.763012,-73.892246
zzz-222@627-wgz-mtv,Kathy Reilly Triangle,40.62518,-74.018055
zzz-222@627-s2c-btv,Hollis Playground,40.706517,-73.753099
zzz-222@627-rvs-zfz,UdallS Park Preserve,40.776192,-73.745214
zzw-224@627-s8d-xwk,Casa Enrique,40.743408,-73.954373
zzz-222@627-s4m-4qf,Booker T Washington Playground,40.800965,-73.963704
zzz-222@627-sb6-pgk,Is 145,40.754892,-73.887795
zzz-222@627-s8d-x5z,HunterS Point Park,40.744142,-73.955173
zzz-222@627-rws-jd9,Waterfront Garden,40.809776,-73.850558
222-222@627-rzq-3kf,Holy Cow Playground,40.741649,-73.778378
228-222@627-s8m-66k,Gotham Gardens NYC,40.730038,-73.960832
zzz-222@627-vsy-c3q,P S 36r,40.54392,-74.182086
zzz-222@627-s8n-yqf,East River Walk,40.769044,-73.948545
zzz-222@627-wg6-9fz,P S 119,40.626006,-73.938488
zzz-222@627-wdm-mx5,P S 48k,40.621445,-73.986932
zzy-222@627-rzx-9xq,New York City Department Of Parks And Recreation,40.757305,-73.771166
zzy-222@627-s8k-st9,La Casita Garden,40.725226,-73.979023
zzw-223@627-vv5-xh5,Richard Peare,40.643162,-74.103122
zzz-222@627-wdk-jgk,Kelly Park,40.604029,-73.956545
227-222@627-wc8-2kz,Central Parking,40.724403,-73.991737
224-223@627-s7w-6zf,Long Island Mews,40.736365,-73.890447
zzz-222@627-s4v-p9z,Crack Is Wack Playground,40.804433,-73.931895
zzz-222@627-s9p-xnq,Rufus King Park,40.703911,-73.803557
zzz-222@627-s8n-y5f,Nyc Open Space 115,40.768004,-73.943906
zzz-222@627-vv8-gc5,Richmond Terrace Wetlands,40.637865,-74.153294
zzz-222@627-s2b-psq,Nakks Malls,40.708187,-73.742831
zzz-223@627-s4v-9j9,Truce Garden,40.804587,-73.953026
zzz-222@627-rw6-wp9,P S 76x,40.868542,-73.861193
zzz-222@627-wg2-sdv,Avenue U Lowes,40.611426,-73.916606
zzy-222@627-s9y-q2k,New York City Department Of Parks And Recreation,40.702605,-73.784528
zzy-223@627-wfd-wx5,Dyker Beach Park Dog Run,40.61759,-74.020589
zzw-222@627-wgt-jgk,Yun Rui Tutoring,40.647025,-74.00202
zzy-223@627-wdb-rc5,Sphinx Fitness,40.576034,-73.978824
zzz-222@627-s7y-yvz,Robert E Venable Park,40.674322,-73.865064
zzw-222@627-rw9-s5z,Kingsbridge Parking,40.867634,-73.896767
226-222@627-wc7-wkz,BRC Senior Services Center,40.720386,-73.992292
zzz-222@627-s8y-6x5,North Pacific Playground,40.68533,-73.98218
zzw-224@627-s9c-zfz,Impark,40.756945,-73.848029
zzz-222@627-s69-py9,Joyce Kilmer Park,40.828493,-73.922632
zzz-222@627-wgt-x89,Pena Herrera Park,40.649576,-74.01202
zzz-222@627-s9h-x5z,Whitestone Playground,40.791992,-73.808455
zzz-222@627-tk7-7kf,Broad Channel Park,40.601074,-73.819659
zzw-222@627-s8q-g49,Brook Park Parking,40.751266,-73.933761
224-222@627-s9k-wx5,Park & Park,40.774595,-73.839925
zzz-222@627-s9k-6p9,Francis Lewis Playground,40.760332,-73.783858
zzy-225@627-s8j-yjv,Greeley Square,40.748531,-73.987897
zzz-222@627-s6b-575,Morgan Playground,40.832338,-73.9074
222-222@627-s9f-w8v,Fantasy Forest,40.741854,-73.848166
zzz-222@627-wgv-z75,Ps 192,40.628591,-73.97931
zzw-222@627-sb8-k75,Standard Parking,40.777052,-73.92374
zzy-222@627-s4r-4gk,L'Arte del Gelato,40.772415,-73.983533
zzz-222@627-vv2-yn5,Graniteville Quarry Park,40.625062,-74.153667
zzw-222@627-wc8-nkf,Golconda Playground,40.697961,-73.98326
222-224@627-wby-zfz,The Greenmarket At Bowling Green,40.703985,-74.013686
zzw-222@627-wff-6p9,P S 229,40.610373,-74.013525
zzy-222@627-wh2-r6k,Central Parking Systems,40.660434,-73.979572
zzz-222@627-s85-kvf,Shirley Chisholm State Park,40.642933,-73.874812
zzz-222@627-s96-mkz,Macri Triangle,40.714537,-73.952017
zzz-222@627-s6c-r6k,Behagen Playground,40.825628,-73.901273
zzz-223@627-s9j-9fz,I S,40.765508,-73.789445
zzz-222@627-s95-ckf,Bushwick Playground,40.695942,-73.911798
zzz-222@627-wh3-yy9,Machate Circle,40.65097,-73.97219
zzz-222@627-wdh-n3q,Kolbert Playground,40.62012,-73.958044
227-222@627-s4q-zxq,Gertrude Ederle Recreation Center,40.771431,-73.988643
zzz-222@627-s28-52k,Pat Williams Playground,40.713109,-73.729586
22c-222@627-s8y-94v,Empire State Caskets,40.692838,-73.982254
zzz-222@627-s4v-4qf,East River Playground,40.789328,-73.938137
zzz-222@627-wdh-66k,P S 226,40.615359,-73.97704
zzz-222@627-s6j-85f,Ps 33,40.861354,-73.901635
zzw-222@627-s4n-wtv,Asphalt Green Upper East Side,40.778946,-73.943858
zzz-222@627-s7t-dqf,Federoff Triangle,40.727194,-73.852587
22z-222@627-wh2-j9z,Colombia In Park Slope,40.671319,-73.984855
zzz-222@627-s84-ghq,Livonia Park,40.663838,-73.901876
zzz-222@627-s6g-66k,Hansborough Recreation Center,40.812828,-73.939319
zzz-222@627-wgv-kzz,P S 172,40.65765,-73.999971
zzw-222@627-wh3-4jv,Park 6,40.661617,-73.988456
zzz-222@627-s7r-dd9,P S 91,40.703517,-73.883753
zzz-222@627-vvm-2hq,ReedS Basket Willow Swamp Park,40.600566,-74.101695
223-225@627-s8j-h89,Garden Of Eden Gourmet,40.735938,-73.992845
zzy-223@627-wdg-cdv,Brooklyn Pit,40.573954,-73.981006
zzz-222@627-sb9-yn5,Ditmars Park,40.771655,-73.907144
zzz-222@627-wc8-s89,Park Concord,40.698186,-73.985212
zzy-222@627-s6m-c3q,Highbridge Park,40.845193,-73.932245
zzz-223@627-wc9-26k,Squibb Park,40.700887,-73.995323
zzy-223@627-sbg-789,New York Haunted Hayride,40.79588,-73.922457
zzz-222@627-s5x-wx5,Phyllis Post Goodman Park,40.880548,-73.917406
zzy-223@627-s7n-2rk,Knollwood Park Cemetery,40.702239,-73.880352
zzy-222@627-s5x-b49,Inwood Hill Park,40.864529,-73.926921
zzz-222@627-tny-j35,Playground One Forty,40.675216,-73.801257
zzz-222@627-s84-qzz,Sperandeo Brothers Playground,40.676598,-73.884412
zzy-222@627-s4m-5fz,105th St Dog Run,40.801646,-73.97041
zzz-222@627-vsr-6x5,Richmond Parkway,40.532243,-74.200015
zzz-222@627-s84-gtv,P S 125 Playground,40.665147,-73.909068
zzy-223@627-wbz-5cq,West Thames Dog Park,40.706864,-74.016803
zzz-222@627-wh4-f75,Sitting Area Seeley,40.65266,-73.976864
zzz-222@627-s6d-djv,Wright Brothers Playground,40.831684,-73.941769
zzy-222@627-tnw-59f,InnerCity Soccer Tech,40.669723,-73.786592
zzy-224@627-s8k-q4v,Tompkins Square Greenmarket,40.724331,-73.98223
222-222@627-w79-dgk,Conference House,40.503144,-74.253235
